IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,64539,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,81,1,1,2026-06-25T00:47:26.003+01:00,2026-06-25T00:47:26.008+01:00
17,10.215.173.1,54060,209.85.202.84,443,10185,Chrome,com.android.chrome,QUIC,Closed,accounts.google.com,5468,11258,17,16,2026-06-25T00:47:26.046+01:00,2026-06-25T00:47:26.467+01:00
17,10.215.173.1,11049,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,search.arin.net,61,106,1,1,2026-06-25T00:47:26.051+01:00,2026-06-25T00:47:26.210+01:00
17,10.215.173.1,43488,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,search.arin.net,61,93,1,1,2026-06-25T00:47:26.056+01:00,2026-06-25T00:47:26.059+01:00
6,10.215.173.1,59854,199.43.0.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,search.arin.net,5543,85096,27,24,2026-06-25T00:47:26.168+01:00,2026-06-25T00:48:17.716+01:00
6,10.215.173.1,45870,209.85.202.84,443,10185,Chrome,com.android.chrome,HTTPS,Closed,accounts.google.com,2359,6711,11,8,2026-06-25T00:47:26.177+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,59868,199.43.0.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,search.arin.net,5771,38583,20,18,2026-06-25T00:47:26.284+01:00,2026-06-25T00:48:17.720+01:00
17,10.215.173.1,54674,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.google.com,60,85,1,1,2026-06-25T00:47:26.298+01:00,2026-06-25T00:47:26.310+01:00
17,10.215.173.1,19798,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.google.com,60,188,1,1,2026-06-25T00:47:26.302+01:00,2026-06-25T00:47:26.308+01:00
17,10.215.173.1,16250,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,safebrowsing.google.com,69,138,1,1,2026-06-25T00:47:26.322+01:00,2026-06-25T00:47:26.336+01:00
17,10.215.173.1,28815,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,safebrowsing.google.com,69,152,1,1,2026-06-25T00:47:26.329+01:00,2026-06-25T00:47:26.342+01:00
17,10.215.173.1,37059,142.251.157.119,443,10185,Chrome,com.android.chrome,QUIC,Closed,www.google.com,4982,10914,20,18,2026-06-25T00:47:26.333+01:00,2026-06-25T00:47:54.704+01:00
6,10.215.173.1,38788,74.125.193.93,443,10185,Chrome,com.android.chrome,HTTPS,Closed,safebrowsing.google.com,3481,8339,16,14,2026-06-25T00:47:26.346+01:00,2026-06-25T00:48:17.716+01:00
17,10.215.173.1,39688,74.125.193.138,443,10164,Google Play Store,com.android.vending,QUIC,Closed,play-fe.googleapis.com,7870,10053,21,18,2026-06-25T00:47:26.568+01:00,2026-06-25T00:47:26.932+01:00
6,10.215.173.1,36114,74.125.193.138,443,10164,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2242,7101,10,8,2026-06-25T00:47:26.578+01:00,2026-06-25T00:47:27.885+01:00
6,10.215.173.1,59876,199.43.0.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,search.arin.net,4537,13355,16,12,2026-06-25T00:47:26.661+01:00,2026-06-25T00:48:17.715+01:00
6,10.215.173.1,59884,199.43.0.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,search.arin.net,2886,8954,12,9,2026-06-25T00:47:26.663+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,59894,199.43.0.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,search.arin.net,4573,84453,17,19,2026-06-25T00:47:26.666+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,59906,199.43.0.47,443,10185,Chrome,com.android.chrome,HTTPS,Closed,search.arin.net,2979,4655,11,8,2026-06-25T00:47:26.671+01:00,2026-06-25T00:48:17.720+01:00
17,10.215.173.1,41247,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,cdn.jsdelivr.net,62,166,1,1,2026-06-25T00:47:26.840+01:00,2026-06-25T00:47:26.860+01:00
17,10.215.173.1,22470,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,cdn.jsdelivr.net,62,140,1,1,2026-06-25T00:47:26.845+01:00,2026-06-25T00:47:26.865+01:00
6,10.215.173.1,33200,104.17.208.5,443,10185,Chrome,com.android.chrome,HTTPS,Closed,cdn.jsdelivr.net,2969,21186,13,11,2026-06-25T00:47:26.872+01:00,2026-06-25T00:48:17.714+01:00
17,10.215.173.1,40514,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,c2y23vzfb5cg.statuspage.io,72,184,1,1,2026-06-25T00:47:27.089+01:00,2026-06-25T00:47:27.133+01:00
17,10.215.173.1,20959,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,c2y23vzfb5cg.statuspage.io,72,164,1,1,2026-06-25T00:47:27.094+01:00,2026-06-25T00:47:27.138+01:00
17,10.215.173.1,59144,104.17.208.5,443,10185,Chrome,com.android.chrome,QUIC,Closed,cdn.jsdelivr.net,8547,105057,55,96,2026-06-25T00:47:27.099+01:00,2026-06-25T00:47:27.309+01:00
6,10.215.173.1,33214,104.17.208.5,443,10185,Chrome,com.android.chrome,HTTPS,Closed,cdn.jsdelivr.net,2250,8060,11,8,2026-06-25T00:47:27.118+01:00,2026-06-25T00:48:17.716+01:00
17,10.215.173.1,11955,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.googletagmanager.com,70,127,1,1,2026-06-25T00:47:27.123+01:00,2026-06-25T00:47:27.142+01:00
17,10.215.173.1,16775,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.googletagmanager.com,70,86,1,1,2026-06-25T00:47:27.128+01:00,2026-06-25T00:47:27.157+01:00
6,10.215.173.1,37476,54.230.114.81,443,10185,Chrome,com.android.chrome,HTTPS,Closed,c2y23vzfb5cg.statuspage.io,3063,8149,15,11,2026-06-25T00:47:27.153+01:00,2026-06-25T00:48:17.720+01:00
6,10.215.173.1,38196,172.253.116.97,443,10185,Chrome,com.android.chrome,HTTPS,Closed,www.googletagmanager.com,3890,303684,34,50,2026-06-25T00:47:27.171+01:00,2026-06-25T00:48:17.716+01:00
17,10.215.173.1,30815,10.215.173.2,53,10153,Google Play services,com.google.android.gms,DNS,Closed,android.googleapis.com,68,132,1,1,2026-06-25T00:47:27.175+01:00,2026-06-25T00:47:27.195+01:00
17,10.215.173.1,59467,216.239.34.223,443,10153,Google Play services,com.google.android.gms,QUIC,Closed,android.googleapis.com,8551,40104,32,47,2026-06-25T00:47:27.222+01:00,2026-06-25T00:47:27.781+01:00
17,10.215.173.1,63305,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,content-autofill.googleapis.com,77,134,1,1,2026-06-25T00:47:27.261+01:00,2026-06-25T00:47:27.277+01:00
17,10.215.173.1,22904,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,content-autofill.googleapis.com,77,141,1,1,2026-06-25T00:47:27.266+01:00,2026-06-25T00:47:27.289+01:00
6,10.215.173.1,54762,216.239.38.223,443,10185,Chrome,com.android.chrome,HTTPS,Closed,content-autofill.googleapis.com,3379,8065,16,15,2026-06-25T00:47:27.305+01:00,2026-06-25T00:48:17.717+01:00
17,10.215.173.1,22501,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,accountws.arin.net,64,109,1,1,2026-06-25T00:47:27.349+01:00,2026-06-25T00:47:27.456+01:00
17,10.215.173.1,43021,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,accountws.arin.net,64,80,1,1,2026-06-25T00:47:27.355+01:00,2026-06-25T00:47:27.519+01:00
17,10.215.173.1,6045,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,c2y23vzfb5cg.statuspage.io,72,184,1,1,2026-06-25T00:47:27.417+01:00,2026-06-25T00:47:27.427+01:00
